appid,game_title,tags,tag_count
881100,Noita,"Physics, Roguelike, Pixel Graphics, Difficult, 2D, Dungeon Crawler, Indie, Sandbox, Open World, Perma Death, Action, Action Roguelike, Gun Customization, 2D Platformer, Roguelite, RPG, Dark Humor, Mythology, Crafting, Action-Adventure",20
883710,Resident Evil 2,"Zombies, Survival Horror, Horror, Singleplayer, Remake, Third Person, Gore, Action, Puzzle, Atmospheric, Story Rich, Violent, Multiplayer, Survival, Classic, Female Protagonist, Dark, Shooter, Adventure, Difficult",20
889920,Metro Exodus - The Two Colonels,"Action, Post-apocalyptic, Story Rich, Atmospheric",4
893180,Catherine Classic,"Sexual Content, Anime, Mature, Nudity, Puzzle, Story Rich, Choices Matter, Multiple Endings, Puzzle Platformer, Horror, Singleplayer, Difficult, Adventure, Psychological Horror, Surreal, Violent, Great Soundtrack, Gore, Sokoban, Local Multiplayer",20
893680,Project Warlock,"Boomer Shooter, FPS, Retro, Pixel Graphics, Blood, Action, Old School, Fast-Paced, Dark Fantasy, Singleplayer, Shooter, Demons, RPG, First-Person, Shoot 'Em Up, Bullet Hell, Roguelike, Combat, Horror, Indie",20
894020,Death's Door,"Cute, Souls-like, Cartoony, 3D Platformer, RPG, Dark Fantasy, Action, Adventure, Action-Adventure, Hack and Slash, Exploration, Isometric, Action RPG, Dungeon Crawler, 3D, Metroidvania, Indie, Controller, Colorful, Combat",20
916440,Anno 1800,"City Builder, Strategy, Simulation, Economy, Multiplayer, Resource Management, Sandbox, RTS, Co-op, Singleplayer, Exploration, Management, Historical, Building, Political, Politics, Choose Your Own Adventure, Story Rich, Choices Matter, Multiple Endings",20
919360,Alaloth: Champions of The Four Kingdoms,"Action RPG, Isometric, Hack and Slash, Fantasy, Souls-like, Dungeon Crawler, Sandbox, Dark Fantasy, Singleplayer, RPG, Open World, Lore-Rich, CRPG, Top-Down, Story Rich, Nonlinear, Exploration, Magic, Swordplay, Action",20
920210,LEGO® Star Wars™: The Skywalker Saga,"LEGO, Adventure, Co-op, Open World, Space, Multiplayer, Local Co-Op, Action, Sci-fi, Singleplayer, Funny, Family Friendly, Third Person, Story Rich, Epic, Great Soundtrack, Memes, Beautiful, Puzzle, Sexual Content",20
924980,Trials of Mana,"RPG, JRPG, Anime, Action RPG, Remake, Fantasy, Singleplayer, Adventure, Action, Hack and Slash, Story Rich, Great Soundtrack, Female Protagonist, Character Customization, Classic, Party-Based RPG, Cute, Third Person",18
925930,Myst III: Exile,"Adventure, Puzzle, Casual, Point & Click, FMV, Exploration, Story Rich, Atmospheric, Singleplayer, First-Person, Mystery, Sci-fi",12
927380,Yakuza Kiwami 2,"Action, Story Rich, RPG, Beat 'em up, Violent, Singleplayer, Adventure, Open World, Minigames, Sexual Content, Crime, Great Soundtrack, Comedy, Third Person, Funny, Remake, Drama, Action RPG, JRPG, Anime",20
933110,Age of Empires III: Definitive Edition,"Strategy, Base Building, RTS, Multiplayer, War, Military, City Builder, Historical, Singleplayer, Free to Play, Resource Management, PvP, Combat, 3D, Online Co-Op, Co-op, Medieval, Moddable, Story Rich, Level Editor",20
933480,Enderal: Forgotten Stories,"RPG, Adventure, Free to Play, Action, Fantasy, Open World, Story Rich, Singleplayer, Mod, Atmospheric, Great Soundtrack, Dark Fantasy, Exploration, Lore-Rich, First-Person, Psychological, Violent, Dark, Gore, Replay Value",20
953490,CARRION,"Villain Protagonist, Pixel Graphics, Gore, Action, Horror, Indie, Metroidvania, Violent, 2D, Adventure, Singleplayer, Blood, Puzzle, Physics, Lovecraftian, Sci-fi, Platformer, Mature, Atmospheric, Great Soundtrack",20
954740,Terminator: Resistance,"FPS, Post-apocalyptic, Choices Matter, Sci-fi, Open World, First-Person, Singleplayer, RPG, Story Rich, Action, Robots, Multiple Endings, Atmospheric, Futuristic, Crafting, Adventure, Violent, Shooter, Great Soundtrack, Cinematic",20
960090,Bloons TD 6,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op, Co-op, Family Friendly, Casual, 3D, Cartoony, Sandbox, 2D, Great Soundtrack, Difficult, Touch-Friendly, Cute, Funny, Addictive, Survival, Action",20
960910,Heavy Rain,"Choices Matter, Story Rich, Multiple Endings, Cinematic, Narration, Adventure, Detective, Thriller, Emotional, Quick-Time Events, Interactive Fiction, Investigation, Mystery, Sexual Content, Singleplayer, Crime, Dynamic Narration, Atmospheric, Violent, Nudity",20
960990,Beyond: Two Souls,"Choices Matter, Adventure, Story Rich, Cinematic, Female Protagonist, Singleplayer, Emotional, Co-op, Quick-Time Events, Horror, Sci-fi, Dynamic Narration, Third Person, Atmospheric, Thriller, Narration, Drama, Beautiful, Violent, Great Soundtrack",20
964800,Prodeus,"Boomer Shooter, FPS, Retro, Gore, Action, Shooter, Indie, Violent, Adventure, First-Person, Fast-Paced, Pixel Graphics, Great Soundtrack, Singleplayer, Sci-fi, Casual, Classic, Level Editor, Arena Shooter, Horror",20
970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,"RPG, Turn-Based Tactics, Adventure, Turn-Based, Singleplayer, Strategy, Turn-Based Strategy, Action, Character Customization, Dungeon Crawler, Funny, Indie, Difficult, Tactical, Fantasy, Story Rich, Sexual Content, Third Person, Atmospheric, Great Soundtrack",20
